pais,departamento,localidad
URUGUAY,TACUAREMBO,PIEDRA SOLA
URUGUAY,TACUAREMBO,CARDOZO
URUGUAY,TACUAREMBO,CHAMBERLAIN
URUGUAY,TACUAREMBO,CUCHILLA DE PERALTA
URUGUAY,TACUAREMBO,LA PEDRERA
URUGUAY,TACUAREMBO,LAURELES
URUGUAY,TACUAREMBO,MONTEVIDEO CHICO
URUGUAY,TACUAREMBO,CERRO DE PASTOREO
URUGUAY,TACUAREMBO,SAUCE DE BATOVI
URUGUAY,TACUAREMBO,PUNTAS DE CINCO SAUCES
URUGUAY,TACUAREMBO,RINCON DE PEREIRA
URUGUAY,TACUAREMBO,PUNTA DE CARRETERA
URUGUAY,TACUAREMBO,CRUZ DE LOS CAMINOS
URUGUAY,TREINTA Y TRE,TREINTA Y TRES
URUGUAY,TREINTA Y TRE,SANTA CLARA DE OLIMAR
URUGUAY,TREINTA Y TRE,VERGARA
URUGUAY,TREINTA Y TRE,ARROZAL TREINTA Y TRES
URUGUAY,TREINTA Y TRE,GRAL. ENRIQUE MARTINEZ
URUGUAY,TREINTA Y TRE,VILLA SARA
URUGUAY,TREINTA Y TRE,CERRO CHATO
URUGUAY,TREINTA Y TRE,ESTACION RINCON
URUGUAY,TREINTA Y TRE,ISLA PATRULLA (MARIA ISABEL)
URUGUAY,TREINTA Y TRE,VALENTINES
URUGUAY,TREINTA Y TRE,POBLADO ALONZO
URUGUAY,TREINTA Y TRE,ARROCERA RINCON
URUGUAY,TREINTA Y TRE,ARROCERA LOS CEIBOS
URUGUAY,TREINTA Y TRE,MARIA ALBINA
URUGUAY,TREINTA Y TRE,MENDIZABAL (EL ORO)
URUGUAY,TREINTA Y TRE,PUNTAS DEL PARAO
URUGUAY,TREINTA Y TRE,VILLA PASSANO
URUGUAY,TREINTA Y TRE,EJIDO DE TREINTA Y TRES
URUGUAY,TREINTA Y TRE,EL BELLACO
URUGUAY,TREINTA Y TRE,ARROCERA LOS TEROS
URUGUAY,TREINTA Y TRE,ARROCERA BONOMO
URUGUAY,TREINTA Y TRE,ARROCERA EL TIGRE
URUGUAY,TREINTA Y TRE,ARROCERA LA CATUMBERA
URUGUAY,TREINTA Y TRE,ARROCERA LA QUERENCIA
URUGUAY,TREINTA Y TRE,ARROCERA LAS PALMAS
URUGUAY,TREINTA Y TRE,ARROCERA MINI
URUGUAY,TREINTA Y TRE,ARROCERA PROCIPA
URUGUAY,TREINTA Y TRE,ARROCERA SAN FERNANDO
URUGUAY,TREINTA Y TRE,ARROCERA SANTA FE
URUGUAY,TREINTA Y TRE,ARROCERA ZAPATA
URUGUAY,MONTEVIDEO,CIUDAD VIEJA
URUGUAY,MONTEVIDEO,CENTRO
URUGUAY,MONTEVIDEO,BARRIO SUR
URUGUAY,MONTEVIDEO,CORDÓN
URUGUAY,MONTEVIDEO,PALERMO
URUGUAY,MONTEVIDEO,PARQUE RODÓ
URUGUAY,MONTEVIDEO,PUNTA CARRETAS
URUGUAY,MONTEVIDEO,POCITOS
URUGUAY,MONTEVIDEO,BUCEO
URUGUAY,MONTEVIDEO,"PARQUE BATLLE, VILLA DOLORES"
URUGUAY,MONTEVIDEO,MALVÍN
URUGUAY,MONTEVIDEO,MALVÍN NORTE
URUGUAY,MONTEVIDEO,PUNTA GORDA
URUGUAY,MONTEVIDEO,CARRASCO
URUGUAY,MONTEVIDEO,CARRASCO NORTE
URUGUAY,MONTEVIDEO,BAÑADOS DE CARRASCO
URUGUAY,MONTEVIDEO,"MAROÑAS, PARQUE GUARANÍ"
URUGUAY,MONTEVIDEO,FLOR DE MAROÑAS
URUGUAY,MONTEVIDEO,LAS CANTERAS
URUGUAY,MONTEVIDEO,"PUNTA RIELES, BELLA ITALIA"
URUGUAY,MONTEVIDEO,JARDINES DEL HIPÓDROMO
URUGUAY,MONTEVIDEO,ITUZAINGÓ
URUGUAY,MONTEVIDEO,UNIÓN
URUGUAY,MONTEVIDEO,VILLA ESPAÑOLA
URUGUAY,MONTEVIDEO,"MERCADO MODELO, BOLÍVAR"
URUGUAY,MONTEVIDEO,"CASTRO, P. CASTELLANOS"
URUGUAY,MONTEVIDEO,CERRITO
URUGUAY,MONTEVIDEO,LAS ACACIAS
URUGUAY,MONTEVIDEO,AIRES PUROS
URUGUAY,MONTEVIDEO,CASAVALLE
URUGUAY,MONTEVIDEO,PIEDRAS BLANCAS
URUGUAY,MONTEVIDEO,"MANGA, TOLEDO CHICO"
URUGUAY,MONTEVIDEO,PASO DE LAS DURANAS
URUGUAY,MONTEVIDEO,"PEÑAROL, LAVALLEJA"
URUGUAY,MONTEVIDEO,CERRO
URUGUAY,MONTEVIDEO,"CASABÓ, PAJAS BLANCAS"
URUGUAY,MONTEVIDEO,"LA PALOMA, TOMKINSON"
URUGUAY,MONTEVIDEO,LA TEJA
URUGUAY,MONTEVIDEO,"PRADO, NUEVA SAVONA"
URUGUAY,MONTEVIDEO,"CAPURRO, BELLA VISTA"
URUGUAY,MONTEVIDEO,AGUADA
URUGUAY,MONTEVIDEO,REDUCTO
URUGUAY,MONTEVIDEO,ATAHUALPA
URUGUAY,MONTEVIDEO,JACINTO VERA
URUGUAY,MONTEVIDEO,LA FIGURITA
URUGUAY,MONTEVIDEO,LARRAÑAGA
URUGUAY,MONTEVIDEO,LA BLANQUEADA
URUGUAY,MONTEVIDEO,"VILLA MUÑOZ, RETIRO"
URUGUAY,MONTEVIDEO,LA COMERCIAL
URUGUAY,MONTEVIDEO,TRES CRUCES
URUGUAY,MONTEVIDEO,BRAZO ORIENTAL
URUGUAY,MONTEVIDEO,SAYAGO
URUGUAY,MONTEVIDEO,CONCILIACIÓN
URUGUAY,MONTEVIDEO,BELVEDERE
URUGUAY,MONTEVIDEO,NUEVO PARÍS
URUGUAY,MONTEVIDEO,"TRES OMBÚES, VICTORIA"
URUGUAY,MONTEVIDEO,PASO DE LA ARENA
URUGUAY,MONTEVIDEO,"COLÓN SURESTE, ABAYUBÁ"
URUGUAY,MONTEVIDEO,COLÓN CENTRO Y NOROESTE
URUGUAY,MONTEVIDEO,"LEZICA, MELILLA"
URUGUAY,MONTEVIDEO,"VILLA GARCÍA, MANGA RURAL"
URUGUAY,MONTEVIDEO,MANGA
